,enrollee_id,city_development_index,experience,company_size,last_new_job,training_hours,target
1,29725,0.7759999999999999,15,2,5,47,0.0
4,666,0.767,21,2,4,8,0.0
6,28806,0.92,5,2,1,24,0.0
7,402,0.762,13,0,5,18,1.0
8,27107,0.92,7,2,1,46,1.0
9,699,0.92,17,7,5,123,0.0
11,23853,0.92,5,6,1,108,0.0
12,25619,0.913,21,5,3,23,0.0
15,6588,0.926,16,1,5,18,0.0
16,4167,0.92,1,2,0,106,0.0
17,5764,0.624,2,6,2,7,0.0
18,2156,0.624,7,7,0,23,1.0
20,31972,0.843,11,3,1,68,0.0
21,19061,0.926,11,3,2,50,0.0
23,7041,0.7759999999999999,0,5,1,65,0.0
24,22767,0.624,5,5,1,13,0.0
26,17139,0.624,14,4,1,148,1.0
28,21538,0.887,11,0,1,8,1.0
29,10408,0.624,18,2,2,68,1.0
30,14928,0.92,21,3,3,40,0.0
31,22293,0.92,19,6,5,141,0.0
33,26966,0.92,21,3,5,82,0.0
34,26494,0.91,12,6,3,145,0.0
35,4866,0.92,10,1,2,206,0.0
36,12726,0.926,1,7,1,152,0.0
37,10164,0.926,21,3,4,42,1.0
40,2547,0.926,16,5,2,14,0.0
41,13854,0.924,4,1,2,36,0.0
42,31654,0.624,6,2,1,112,1.0
43,13643,0.6659999999999999,9,2,0,108,0.0
44,5590,0.624,9,6,3,7,1.0
46,9006,0.624,5,3,0,87,1.0
47,25987,0.92,19,7,4,52,1.0
49,25103,0.923,11,1,1,21,0.0
51,2195,0.6659999999999999,10,3,2,102,0.0
52,30533,0.794,5,7,5,26,0.0
53,28512,0.924,3,0,2,7,0.0
54,1023,0.926,4,7,1,43,0.0
55,12253,0.924,21,3,1,45,0.0
56,25296,0.754,2,2,2,52,0.0
59,18578,0.767,21,3,5,26,1.0
61,26516,0.939,6,3,3,25,0.0
62,24690,0.8270000000000001,13,0,1,15,0.0
63,8433,0.887,21,3,5,48,0.0
65,5878,0.865,10,2,2,142,1.0
66,25695,0.855,4,7,4,13,0.0
68,12730,0.91,14,4,1,28,0.0
72,12731,0.8270000000000001,2,1,1,29,0.0
73,10908,0.855,5,3,1,46,0.0
75,3686,0.92,5,3,2,17,0.0
76,22683,0.893,5,2,2,65,0.0
77,22134,0.92,3,3,1,35,0.0
78,31765,0.855,9,7,3,14,0.0
79,31449,0.92,2,0,1,4,0.0
80,5987,0.92,15,2,5,12,0.0
81,21762,0.92,21,2,2,108,0.0
83,25413,0.92,5,1,1,27,0.0
84,5902,0.7959999999999999,4,2,1,74,0.0
85,28403,0.884,15,1,1,86,0.0
86,30937,0.866,0,1,2,83,0.0
89,32401,0.92,6,3,1,332,0.0
92,16869,0.92,3,3,1,13,1.0
93,10497,0.682,5,1,2,172,1.0
94,18099,0.92,10,3,1,48,0.0
95,12081,0.802,9,2,1,33,0.0
96,7364,0.92,2,3,1,142,0.0
97,11184,0.579,2,3,1,34,0.0
